Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Philthy Philly's,4-114 Lakeshore Rd E Mississauga ON L5G 1C9,Restaurant,2024-03-01,,location.href = '/Portal/Facility/Details/7b39a743-7922-4d46-94cf-30f29f8cacd2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7b39a743-7922-4d46-94cf-30f29f8cacd2
PHO 99,B8-4557 Hurontario St Mississauga ON L4Z 3M2,Restaurant,2024-01-22,,location.href = '/Portal/Facility/Details/41e9bbae-1fb9-4aee-9493-0c8055927228' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/41e9bbae-1fb9-4aee-9493-0c8055927228
Pho Anh Vu Vietnamese Cuisine,1-780 Burnhamthorpe Rd W Mississauga ON L5C 3X3,Food Take Out,2023-04-18,,location.href = '/Portal/Facility/Details/8ca55830-858d-424c-af9f-606817e7ab1f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8ca55830-858d-424c-af9f-606817e7ab1f
Pho Ao Sen,22-3221 Derry Rd W Mississauga ON L5N 7L7,Restaurant,2023-12-14,,location.href = '/Portal/Facility/Details/ef558d93-6c15-401b-86b3-7dc74b67f43e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ef558d93-6c15-401b-86b3-7dc74b67f43e
Pho Black Bull Restaurant,A2-888 Dundas St E Mississauga ON L4Y 4G6,Restaurant,2024-01-18,,location.href = '/Portal/Facility/Details/db9e0550-6959-4774-b05a-8f467d2885e3' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/db9e0550-6959-4774-b05a-8f467d2885e3
Pho Bo Saigon,14-380 Bovaird Dr E Brampton ON L6Z 2S7,Restaurant,2024-04-12,,location.href = '/Portal/Facility/Details/ee62036c-9079-4ea0-8e07-7ad4a53d56ac' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ee62036c-9079-4ea0-8e07-7ad4a53d56ac
Pho Brothers,15-2555 Dixie Rd. Mississauga ON L4Y 4C4,Restaurant,2024-01-05,,location.href = '/Portal/Facility/Details/eb2c2875-3d05-4984-9f6c-ce5495efeac6' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/eb2c2875-3d05-4984-9f6c-ce5495efeac6
Pho Captain,2-12599 Hwy 50 Caledon ON L7E 1M4,Restaurant,2024-04-10,,location.href = '/Portal/Facility/Details/c7dd999f-fdd7-45ae-8608-9c6ee36eda79' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c7dd999f-fdd7-45ae-8608-9c6ee36eda79
Pho Com 99,4-3100 Dixie Rd Mississauga ON L4Y 2A6,Restaurant,2024-04-02,,location.href = '/Portal/Facility/Details/6b3f84eb-dc66-467a-a636-06d8f6ededf8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6b3f84eb-dc66-467a-a636-06d8f6ededf8
Pho Dau Bo,14-1525 Bristol Rd W Mississauga ON L5M 4Z1,Restaurant,2024-02-28,,location.href = '/Portal/Facility/Details/f7ef635d-74af-4e46-979c-5e71d86270cd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f7ef635d-74af-4e46-979c-5e71d86270cd
Pho Dau Bo,610-20 Gillingham Dr Brampton ON L6X 4X7,Restaurant,2024-04-18,,location.href = '/Portal/Facility/Details/632b8c60-68ed-4614-b78e-d560839a12a5' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/632b8c60-68ed-4614-b78e-d560839a12a5
Pho Dau Bo Restaurant,11-1125 Dundas St E Mississauga ON L4Y 2C4,Restaurant,2024-01-29,,location.href = '/Portal/Facility/Details/633fe875-66b7-4868-b376-d08a2b2524b6' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/633fe875-66b7-4868-b376-d08a2b2524b6
Pho Do Thi,25 & 27-25 Dundas St E Mississauga ON L5A 1V9,Restaurant,2023-12-06,,location.href = '/Portal/Facility/Details/0844462f-fa3e-4385-8992-c04e0bf50428' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0844462f-fa3e-4385-8992-c04e0bf50428
Pho Ha Noi 54 Restaurant,2541 Hurontario St Mississauga ON L5A 2G4,Restaurant,2024-04-04,,location.href = '/Portal/Facility/Details/d894ddb3-9935-4634-abba-40d299ae1f02' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d894ddb3-9935-4634-abba-40d299ae1f02
Pho Hung Vietnamese Restaurant,1195 Dundas St E Mississauga ON L4Y 2C5,Restaurant,2023-11-08,,location.href = '/Portal/Facility/Details/c359585c-2eec-4f5b-ab9c-f0ac6e89e1da' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c359585c-2eec-4f5b-ab9c-f0ac6e89e1da
Pho Mi 289,M6-6550 Meadowvale Town Centre Cir Mississauga ON L5N 2R5,Restaurant,2024-04-10,,location.href = '/Portal/Facility/Details/40e62360-80d5-4b44-aaed-61d25d246b86' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/40e62360-80d5-4b44-aaed-61d25d246b86
Pho Mi 66,5-85 Resolution Dr. Brampton ON L6W 0A6,Restaurant,2024-02-06,,location.href = '/Portal/Facility/Details/3e0e26f2-568b-4468-98a0-8fe6e20aab40' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/3e0e26f2-568b-4468-98a0-8fe6e20aab40
Pho Mi 99,20-7916 Hurontario St Brampton ON L6Y 0B6,Restaurant,2024-03-19,,location.href = '/Portal/Facility/Details/a054a5c3-5894-47f3-ae37-39ae4dd2ad5d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a054a5c3-5894-47f3-ae37-39ae4dd2ad5d
Pho Mi 99,D1-3920 Grand Park Dr Mississauga ON L5B 4M6,Restaurant,2024-03-28,,location.href = '/Portal/Facility/Details/8207fed7-8264-42e8-8534-4d07697cd980' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8207fed7-8264-42e8-8534-4d07697cd980
Pho Mi 99 Vietnamese Restaurant,8-5955 Latimer Dr Mississauga ON L5V 0B7,Restaurant,2023-11-16,,location.href = '/Portal/Facility/Details/6d5b2453-45c9-4c72-84ee-55ae320c794c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6d5b2453-45c9-4c72-84ee-55ae320c794c
Pho Mi Binh Minh,1&2-680 Silver Creek Blvd Mississauga ON L5A 3Z1,Restaurant,2024-04-05,,location.href = '/Portal/Facility/Details/62c0cef8-4e6f-4b3d-907e-5a369137ece8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/62c0cef8-4e6f-4b3d-907e-5a369137ece8
Pho Ngoc Yen Restaurant,1090 Kamato Rd Mississauga ON L4W 2P3,Restaurant,2024-04-08,,location.href = '/Portal/Facility/Details/0904e833-caab-44e2-8004-0f11c138d3ce' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0904e833-caab-44e2-8004-0f11c138d3ce
Pho Peter Restaurant,1-65 Kennedy Rd N Brampton ON L6V 1X6,Restaurant,2024-04-18,,location.href = '/Portal/Facility/Details/31a5003c-3708-4fd1-9fb8-bbec993ffd86' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/31a5003c-3708-4fd1-9fb8-bbec993ffd86
Pho Pho Pho,1135 Derry Rd E Mississauga ON L5T 1P3,Restaurant,2024-02-28,,location.href = '/Portal/Facility/Details/34b10976-4f4c-4780-aee4-a5deecc07c52' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/34b10976-4f4c-4780-aee4-a5deecc07c52
Pho Viet Nam,14 Main St S Brampton ON L6W 2C3,Restaurant,2024-04-22,,location.href = '/Portal/Facility/Details/27d6da2d-5dc9-4b2e-9cc6-f706181e218c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/27d6da2d-5dc9-4b2e-9cc6-f706181e218c
PHO XL,1G-2-6990 Financial Dr Mississauga ON L5N 8J4,Restaurant,2024-03-19,,location.href = '/Portal/Facility/Details/9a108d25-a982-4f2b-a184-a0c4613b599d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9a108d25-a982-4f2b-a184-a0c4613b599d
Phoenix - Convenience Store,18218 Hurontario St Caledon Village ON L7K 0X7,Food Store (e.g. Convenience/Variety),2023-04-11,,location.href = '/Portal/Facility/Details/1045d764-21d5-433c-816d-f053718b94dc' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1045d764-21d5-433c-816d-f053718b94dc
Phoenix Bubble Tea,136-1550 South Gateway Rd Mississauga ON L4W 5G6,Food Take Out,2024-04-02,,location.href = '/Portal/Facility/Details/85da8e42-c0c8-4069-be38-96e6cad9475f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/85da8e42-c0c8-4069-be38-96e6cad9475f
Phoenix Cafe,4030 Confederation Pkwy Mississauga ON L5B 0G4,Restaurant,2023-10-06,,location.href = '/Portal/Facility/Details/9e6005fa-1483-43a1-ad85-960b1f429210' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9e6005fa-1483-43a1-ad85-960b1f429210
Phoenix Chinese Restaurant,6-7-4040 Creditview Rd Mississauga ON L5C 3Y8,Restaurant,2024-02-20,,location.href = '/Portal/Facility/Details/dd78af0e-2b82-4354-a45a-fd4fb8edfb74' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/dd78af0e-2b82-4354-a45a-fd4fb8edfb74
Pi Co,1-126-100 City Centre Dr Mississauga ON L5B 2G6,Food Take Out,2024-03-21,,location.href = '/Portal/Facility/Details/b3305659-a18c-4902-92e8-edb4481923fe' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b3305659-a18c-4902-92e8-edb4481923fe
Pide and Spice,69-1250 South Service Rd Mississauga ON L5E 1V4,Food Take Out,2024-03-07,,location.href = '/Portal/Facility/Details/a2f34ced-b3dd-4cf3-89a3-2be3512e0e1d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a2f34ced-b3dd-4cf3-89a3-2be3512e0e1d
Pier 120 Restaurant and Venue Corp,120 Advance Blvd Brampton ON L6T 4J4,Restaurant,2024-04-02,,location.href = '/Portal/Facility/Details/bd38f7f4-f1f6-4794-8bd3-33cac0f59843' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/bd38f7f4-f1f6-4794-8bd3-33cac0f59843
Pik N Go Shoppe,18-10886 Hurontario St Brampton ON,Food Store (e.g. Convenience/Variety),2023-10-13,,location.href = '/Portal/Facility/Details/7e395ff1-a555-4df2-bcaa-f04d8db354d7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7e395ff1-a555-4df2-bcaa-f04d8db354d7
Pind Balluchi,13-239 Queen St E Brampton ON L6W 2B4,Food Take Out,2023-06-14,,location.href = '/Portal/Facility/Details/b8959904-ce4a-4147-8838-1c24d7529396' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b8959904-ce4a-4147-8838-1c24d7529396
Pineapple Express Juice Bar,200 County Ct Blvd Brampton ON L6W 4L2,Restaurant,2023-08-01,,location.href = '/Portal/Facility/Details/7ca34faa-651f-4e8d-b5c2-bf173bcfddaf' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7ca34faa-651f-4e8d-b5c2-bf173bcfddaf
Pinnacle View-Transitional Care Centre,105-9 McClellan Rd Alton ON,Community Meal Program,2024-01-30,,location.href = '/Portal/Facility/Details/851710ea-a55c-444d-9da5-732d1f1608a3' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/851710ea-a55c-444d-9da5-732d1f1608a3
Pinochi Ice Cream,102-2340 Council Ring Rd Mississauga ON L5L 1C1,Restaurant,2024-02-27,,location.href = '/Portal/Facility/Details/94d7d281-768d-48ec-aee6-837d5ca2d3cf' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/94d7d281-768d-48ec-aee6-837d5ca2d3cf
Pioneer,5020 McLaughlin Rd Mississauga ON L5R 3R8,Food Store (e.g. Convenience/Variety),2024-02-12,,location.href = '/Portal/Facility/Details/ebfe4079-902c-4d04-8399-1fe3757baa26' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ebfe4079-902c-4d04-8399-1fe3757baa26
Pioneer On The Run,3015 Thomas St Mississauga ON L5M 0R4,Food Store (e.g. Convenience/Variety),2024-03-26,,location.href = '/Portal/Facility/Details/a1b941dc-5ecd-4883-a082-0d58f80f23d7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a1b941dc-5ecd-4883-a082-0d58f80f23d7
Pioneer On The Run,9950 McLaughlin Rd N Brampton ON L6X 5C7,Food Store (e.g. Convenience/Variety),2024-01-10,,location.href = '/Portal/Facility/Details/2b173837-6ee0-48a2-bbfe-57a950dc8b31' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2b173837-6ee0-48a2-bbfe-57a950dc8b31
Pioneer Snack Express,3411 Mavis Rd Mississauga ON L5C 1T7,Food Store (e.g. Convenience/Variety),2023-12-04,,location.href = '/Portal/Facility/Details/fda3658b-38ed-4b54-9baa-5841aed8f2e9' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/fda3658b-38ed-4b54-9baa-5841aed8f2e9
Pita & Grill,12-3145 Dundas St W Mississauga ON L5L 5V8,Restaurant,2024-04-15,,location.href = '/Portal/Facility/Details/f34beda4-5ec2-4297-be04-5f0d9cb65703' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f34beda4-5ec2-4297-be04-5f0d9cb65703
Pita & Grill,16-5225 Orbitor Dr Mississauga ON L4W 4Y8,Restaurant,2024-03-14,,location.href = '/Portal/Facility/Details/e47acb40-990a-4f93-b18a-becda539d31d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e47acb40-990a-4f93-b18a-becda539d31d
Pita and Grill,3-29 Aventura Crt Mississauga ON L5T 3A1,Restaurant,2023-10-04,,location.href = '/Portal/Facility/Details/c04d304b-335b-4fed-9bab-99d5f70f2cfd' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c04d304b-335b-4fed-9bab-99d5f70f2cfd
Pita and Grill Family Restaurant,1-134 Dundas St W Mississauga ON L5B 1H9,Restaurant,2023-11-24,,location.href = '/Portal/Facility/Details/2c974533-44e2-46d7-b44d-35043d601553' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2c974533-44e2-46d7-b44d-35043d601553
Pita Land,6-70 World Dr Mississauga ON L5T 2Z3,Restaurant,2023-10-19,,location.href = '/Portal/Facility/Details/643a8977-0587-4f3a-807e-4298cae92a50' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/643a8977-0587-4f3a-807e-4298cae92a50
Pita Land,733K-25 Peel Centre Dr Brampton ON L6T 3R5,Food Take Out,2024-01-29,,location.href = '/Portal/Facility/Details/8d421ef3-9d57-4da9-b97d-6366d4406052' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8d421ef3-9d57-4da9-b97d-6366d4406052
Pita Land,12B-30 Eglinton Ave W Mississauga ON L5R 3E7,Restaurant,2023-09-06,,location.href = '/Portal/Facility/Details/8a7aa800-680b-48ef-8eab-6730794682e2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/8a7aa800-680b-48ef-8eab-6730794682e2
Pita Land,H1-A-2150 Burnhamthorpe Rd W Mississauga ON L5L 3A2,Restaurant,2024-02-28,,location.href = '/Portal/Facility/Details/a459bb87-5209-4a2b-835b-d5ff9bbf3a43' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/a459bb87-5209-4a2b-835b-d5ff9bbf3a43
Pita Land,3-10 Beaumaris Dr Brampton ON L6T 5J6,Food Take Out,2023-09-20,,location.href = '/Portal/Facility/Details/70f53edd-8ac0-409e-bf07-e89a1807806e' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/70f53edd-8ac0-409e-bf07-e89a1807806e
Pita Land,4-10045 Hurontario St Brampton ON L6Z 0E7,Food Take Out,2024-03-18,,location.href = '/Portal/Facility/Details/05a39400-405a-48f8-9d88-e2778ed0e22b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/05a39400-405a-48f8-9d88-e2778ed0e22b
Pita Land,3-9980 Airport Rd Brampton ON L6S 0C5,Restaurant,2024-01-12,,location.href = '/Portal/Facility/Details/69ba1022-ebc4-49d0-a7a6-f5721ad1984b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/69ba1022-ebc4-49d0-a7a6-f5721ad1984b
Pita Lite,4-2325 Matheson Blvd E Mississauga ON L4W 5B6,Food Take Out,2024-04-02,,location.href = '/Portal/Facility/Details/78b24c15-7402-4117-bedb-93d00672a8fe' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/78b24c15-7402-4117-bedb-93d00672a8fe
Pita Lite,101-80 Resolution Drive Brampton ON L6W 0A7,Restaurant,2024-04-16,,location.href = '/Portal/Facility/Details/ca901283-6d86-4f75-b825-145274b4c17d' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ca901283-6d86-4f75-b825-145274b4c17d
Pita Nutso,2-241 Queen St S Mississauga ON L5M 1L7,Food Take Out,2024-01-30,,location.href = '/Portal/Facility/Details/94857458-a08f-4e79-913c-822ddedcc0c1' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/94857458-a08f-4e79-913c-822ddedcc0c1
Pita Nutso,6-9045 Airport Rd Brampton ON L6S 0P8,Food Take Out,2023-10-31,,location.href = '/Portal/Facility/Details/346f9156-cfaf-4fd1-922c-b34054015e22' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/346f9156-cfaf-4fd1-922c-b34054015e22
Pita Pit,19-2400 Dundas St W Mississauga ON L5K 2R8,Food Take Out,2024-03-27,,location.href = '/Portal/Facility/Details/b485a897-fe5c-4a90-9d78-84af74b46111' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b485a897-fe5c-4a90-9d78-84af74b46111
Pita Pit,C4-925 Rathburn Rd E Mississauga ON L4W 4C3,Food Take Out,2024-01-23,,location.href = '/Portal/Facility/Details/534c3db9-02ea-4e74-aefa-892683641cfa' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/534c3db9-02ea-4e74-aefa-892683641cfa
Pita Pit,7-9465 Mississauga Rd Brampton ON L6X 0Z8,Food Take Out,2024-02-14,,location.href = '/Portal/Facility/Details/9c9b5922-03b6-419c-a170-02d1ad058407' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/9c9b5922-03b6-419c-a170-02d1ad058407
Pita Pit,16B-125 Lakeshore Rd E Mississauga ON L5G 1E5,Food Take Out,2024-01-24,,location.href = '/Portal/Facility/Details/d6d5cbff-c639-420a-9208-42291b732b57' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d6d5cbff-c639-420a-9208-42291b732b57
"Pita Pit, The",8 Main st S Brampton ON L6W 3C2,Restaurant,2023-11-08,,location.href = '/Portal/Facility/Details/e4cdc747-0256-42a6-a61e-e772c29ec5d3' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e4cdc747-0256-42a6-a61e-e772c29ec5d3
Pita Plus Grill,4-269 Queen St E Brampton,Food Take Out,2024-02-22,,location.href = '/Portal/Facility/Details/11b0ba2e-0815-4957-a0e2-6a5ba7059743' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/11b0ba2e-0815-4957-a0e2-6a5ba7059743
Pizza 2 Go,20-1098 Peter Robertson Blvd Brampton ON L6R 1G6,Food Take Out,2024-03-14,,location.href = '/Portal/Facility/Details/f42449c4-4a01-4c6a-9760-a58b3eb09ead' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f42449c4-4a01-4c6a-9760-a58b3eb09ead
Pizza 20-20,6-205 Van Kirk Dr Brampton ON L7A 3V4,Food Take Out,2023-09-19,,location.href = '/Portal/Facility/Details/7701dcae-248a-4a57-8d30-0bb2bbcb8ca8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/7701dcae-248a-4a57-8d30-0bb2bbcb8ca8
Pizza 2Go,1-10725 McLaughlin Rd Brampton ON L7A 3E5,Food Take Out,2023-10-27,,location.href = '/Portal/Facility/Details/f34a2686-6c62-49bc-8f06-fc1aace9b27b' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f34a2686-6c62-49bc-8f06-fc1aace9b27b
Pizza 4U,9-130 Father Tobin Rd Brampton ON L6R 3P1,Food Take Out,2023-12-05,,location.href = '/Portal/Facility/Details/f64a8c45-57b5-4334-9e53-02636358d9bf' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f64a8c45-57b5-4334-9e53-02636358d9bf
Pizza Depot,1-65 Braydon Blvd Brampton ON L6P 2S4,Restaurant,2024-02-16,,location.href = '/Portal/Facility/Details/f8d137c3-7f61-41ab-8b6f-063d2a18c6ea' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/f8d137c3-7f61-41ab-8b6f-063d2a18c6ea
Pizza Depot,B104-433 Wanless Dr Brampton ON L7A 0N9,Food Take Out,2023-09-29,,location.href = '/Portal/Facility/Details/0013b8f9-9beb-4181-a8f3-282d133cc7ab' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0013b8f9-9beb-4181-a8f3-282d133cc7ab
Pizza Depot,16-4525 Ebenezer Rd Brampton ON L6P 2K8,Food Take Out,2023-11-10,,location.href = '/Portal/Facility/Details/d29f1297-e72e-41f4-8f49-5691a058aca2' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d29f1297-e72e-41f4-8f49-5691a058aca2
Pizza Depot,104-148 West Dr Brampton ON L6T 4P9,Food Take Out,2023-07-14,,location.href = '/Portal/Facility/Details/0881f3e3-4656-44e0-ac31-889ab375c2b7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/0881f3e3-4656-44e0-ac31-889ab375c2b7
Pizza Depot,4-220 Wexford Rd Brampton ON L6Z 4N7,Food Take Out,2024-02-28,,location.href = '/Portal/Facility/Details/90d1abef-9ca8-433c-8316-8c10d876ae84' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/90d1abef-9ca8-433c-8316-8c10d876ae84
Pizza Depot,9-900 Ray Lawson Blvd Brampton Ontario L6Y 5H7,Food Take Out,2023-10-11,,location.href = '/Portal/Facility/Details/550f3ef1-d376-46f3-a5ff-91e57c480a42' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/550f3ef1-d376-46f3-a5ff-91e57c480a42
Pizza Depot,1-7171 Goreway Dr Mississauga ON L4T 2T5,Food Take Out,2023-10-04,,location.href = '/Portal/Facility/Details/22b04fc5-8469-4e77-b8ef-8279d5485878' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/22b04fc5-8469-4e77-b8ef-8279d5485878
Pizza Depot,4-9705 James Potter Rd Brampton ON L6X 3B9,Food Take Out,2024-01-11,,location.href = '/Portal/Facility/Details/50bd437e-8f8a-4b05-9fba-723d2e6e5e7c' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/50bd437e-8f8a-4b05-9fba-723d2e6e5e7c
Pizza Depot,7-333 Fairhill Ave Brampton ON L7A 2N9,Food Take Out,2024-04-08,,location.href = '/Portal/Facility/Details/44136550-0b50-4441-ad9c-b81000df4d77' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/44136550-0b50-4441-ad9c-b81000df4d77
Pizza Depot,107-3945 Doug Leavens Blvd Mississauga ON L5N 0A5,Food Take Out,2022-08-03,,location.href = '/Portal/Facility/Details/af9d2652-8f4f-4f09-a9a9-c5811fc29438' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/af9d2652-8f4f-4f09-a9a9-c5811fc29438
Pizza Depot,2-1075 Ceremonial Dr Mississauga ON L5R 2Z3,Food Take Out,2023-12-13,,location.href = '/Portal/Facility/Details/229f3531-5dc0-4da0-ad36-c3dbfb17de83' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/229f3531-5dc0-4da0-ad36-c3dbfb17de83
Pizza Depot,1A-7985 Financial Dr Brampton ON L6Y 0J8,Food Take Out,2024-01-24,,location.href = '/Portal/Facility/Details/3faed955-c594-4cfa-a691-d44c52b27258' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/3faed955-c594-4cfa-a691-d44c52b27258
Pizza e Dolci,252 Lakeshore Rd E Mississauga ON L5G 1G9,Food Take Out,2024-03-28,,location.href = '/Portal/Facility/Details/c64ab297-1a80-458c-b0dd-6291183f9253' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c64ab297-1a80-458c-b0dd-6291183f9253
Pizza Express,15954 Airport Rd Caledon ON L7C 1K5,Food Take Out,2023-11-07,,location.href = '/Portal/Facility/Details/1f0c6d90-dbfd-4789-9c50-427115f3ec44' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1f0c6d90-dbfd-4789-9c50-427115f3ec44
Pizza Fame,5-9899 Airport Rd BRAMPTON ON L6S 0A2,Food Take Out,2023-06-29,,location.href = '/Portal/Facility/Details/1f267b14-90da-4020-a368-6588619d3c09' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/1f267b14-90da-4020-a368-6588619d3c09
Pizza Feast,5-275 Gardenbrooke Trail Brampton ON L6P 3L1,Food Take Out,2024-02-27,,location.href = '/Portal/Facility/Details/4613a826-0716-4fd6-afd3-b907d0cc59ca' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/4613a826-0716-4fd6-afd3-b907d0cc59ca
Pizza Fiamma,3-9 Beaumaris Dr Brampton ON L6T 5J6,Food Take Out,2024-01-31,,location.href = '/Portal/Facility/Details/e3dc1774-239c-4c60-8d01-ba6a0552794f' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e3dc1774-239c-4c60-8d01-ba6a0552794f
Pizza Fiamma,3-10061 McLaughlin Rd Brampton ON L7A 2X5,Food Take Out,2024-03-14,,location.href = '/Portal/Facility/Details/cb63eae9-7dc7-428a-b001-6ca0472459d8' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/cb63eae9-7dc7-428a-b001-6ca0472459d8
Pizza Fiamma,2-105 Father Tobin Rd Brampton ON L6R 0W9,Food Take Out,2024-04-04,,location.href = '/Portal/Facility/Details/ab5b3f91-45e9-4250-bf09-99e1d31fd2f7' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/ab5b3f91-45e9-4250-bf09-99e1d31fd2f7
Pizza Fiamma,12A-3355 Hurontario Str Mississauga ON L5A 4E7,Food Take Out,2023-07-13,,location.href = '/Portal/Facility/Details/6c12d619-ffdc-4dd0-875f-a9ed9b25c6e1' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/6c12d619-ffdc-4dd0-875f-a9ed9b25c6e1
Pizza Fiamma,B-7460 Airport Rd Mississauga Ontario L4T 2H5,Food Take Out,2024-01-15,,location.href = '/Portal/Facility/Details/2991aabe-0151-46d3-8495-4050b00d3934' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/2991aabe-0151-46d3-8495-4050b00d3934
Pizza Hood,2-135 Inspire Blvd Brampton ON L6R 3X9,Food Take Out,2024-01-12,,location.href = '/Portal/Facility/Details/93fa06dd-99ed-45a7-ace2-2138ee07dea0' ,Food,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/93fa06dd-99ed-45a7-ace2-2138ee07dea0
