Facility Name,Site Address,Facility Type,Last Inspection Date,Inspection Result,url_entity_partial,category,url_entity_full
Glow Salon,2 Hiawatha Pky Mississauga ON L5G 1G8,Hair Dressing / Barbering,2023-08-02,,location.href = '/Portal/Facility/Details/3e996b12-9cc6-4a47-b839-11bb1320d369' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/3e996b12-9cc6-4a47-b839-11bb1320d369
GM Hair Design,3&4-58-50 Burnhamthorpe Rd W Mississauga ON L5B 3C2,Hair Dressing / Barbering,2023-02-13,,location.href = '/Portal/Facility/Details/d4dda5eb-e82a-4487-addb-1af65633daeb' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d4dda5eb-e82a-4487-addb-1af65633daeb
Gold Label Hair Studio,1-58-50 Burnhamthorpe Rd W Mississauga ON L5B 3C2,Hair Dressing / Barbering,2023-02-08,,location.href = '/Portal/Facility/Details/c226a72d-5ffb-42de-9927-8fddd00a7889' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c226a72d-5ffb-42de-9927-8fddd00a7889
Gold Tan & Sunset Spa,14-3476 Glen Erin Dr Mississauga ON L5L 3R4,Micropigmentation,2023-12-19,,location.href = '/Portal/Facility/Details/cfd418e1-8d3f-48b3-8e63-d89bd212b50b' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/cfd418e1-8d3f-48b3-8e63-d89bd212b50b
Golden Cuts,95-3480 Platinum Dr Mississauga ON L5M 7Z7,Hair Dressing / Barbering,2023-06-22,,location.href = '/Portal/Facility/Details/d9b43b36-f3b4-4791-85bf-5fb4b4d64eac' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/d9b43b36-f3b4-4791-85bf-5fb4b4d64eac
Golden Hair Beauty Salon,103B-9780 Bramalea Rd Brampton ON L6S 2P1,Hair Dressing / Barbering,2024-04-05,,location.href = '/Portal/Facility/Details/c80df6da-26b1-46f3-bab8-4dfd72988519' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/c80df6da-26b1-46f3-bab8-4dfd72988519
Golden Hair Salon,2233 Hurontario St Mississauga ON L5A 2E9,Hair Dressing / Barbering,2023-10-17,,location.href = '/Portal/Facility/Details/03db13f8-b0d9-4d5d-b822-df65c7700985' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/03db13f8-b0d9-4d5d-b822-df65c7700985
Golden Leaf Wellness Centre,2229 Bostock Crescent Mississauga ON L5J 3S8,Manicure / Pedicure,2023-11-14,,location.href = '/Portal/Facility/Details/348a6f7a-58e1-4f72-87ee-5028412f5753' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/348a6f7a-58e1-4f72-87ee-5028412f5753
Golden Tattoo Parlour Inc,115-10 Gillingham Dr Brampton ON L6X 5A5,Tattooing,2023-12-20,,location.href = '/Portal/Facility/Details/b0b7c895-4124-4253-a6a7-7dc686058e65' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/b0b7c895-4124-4253-a6a7-7dc686058e65
Golden Wellness Center,20-2575 Dundas St W Mississauga ON L5K 2M6,Aesthetics,2023-10-12,,location.href = '/Portal/Facility/Details/e2d84ab9-a3b7-428f-9de5-665134d1ffd5' ,Personal Services Settings,https://rmop.hedgerowsoftware.com/Portal/Facility/Details/e2d84ab9-a3b7-428f-9de5-665134d1ffd5
