Facility Name,Site Address,Last Inspection Date,Colour Posting,url_entity_partial,category,Type,Legislation,Status,Offence Date,Description,Status Updated,url_entity_full
Pedi N Nails London,1C-530 Oxford St W  London Ontario N6H 1T6,,,location.href = '/Portal/Facility/Details/01962481-f655-40a1-9a19-c9de7e81d9a8' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/01962481-f655-40a1-9a19-c9de7e81d9a8
Re Salon & Spa,103-201 Queens Ave  London ON N6A 1J1,,,location.href = '/Portal/Facility/Details/e756a598-21ac-42bc-a2db-d27a63f673d3' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/e756a598-21ac-42bc-a2db-d27a63f673d3
Regina Denys-Chedore - Electrolysis,959 Whetherfield St  London ON N6H 0A2,,,location.href = '/Portal/Facility/Details/cc235f61-c06a-475d-8447-41e5c0abc960' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/cc235f61-c06a-475d-8447-41e5c0abc960
Rose Cupping Therapy Inc.,912 Guildwood Blvd  London ON N6H 5S9,,,location.href = '/Portal/Facility/Details/f8c784c0-0e75-4d39-a697-964cf0e9850e' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/f8c784c0-0e75-4d39-a697-964cf0e9850e
Salon MV,678 Santa Monica Rd  London ON N6H 3W1,,,location.href = '/Portal/Facility/Details/b37678f6-d1a1-45d2-b563-04d82d1407d1' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/b37678f6-d1a1-45d2-b563-04d82d1407d1
Sharpe Esthetics,2634 Lucas Ave  Mount Brydges ON N0L 1W0,,,location.href = '/Portal/Facility/Details/35913551-65a6-415e-8d03-800c40f2eff4' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/35913551-65a6-415e-8d03-800c40f2eff4
Showgirl Smooth,2525 Oxford St. W  London ON N6K 4P1,,,location.href = '/Portal/Facility/Details/7b3dc63d-b802-41d9-9d92-c344ada875e9' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/7b3dc63d-b802-41d9-9d92-c344ada875e9
Steve Salon,998 Oxford St. E  London ON N5Y 3K7,,,location.href = '/Portal/Facility/Details/1f391b89-ac11-449b-aed6-89574d427740' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/1f391b89-ac11-449b-aed6-89574d427740
Sweet City Adult Ent,609 Clarke Rd  London ON N5V 4C1,,,location.href = '/Portal/Facility/Details/5dd33414-701e-4276-802b-6a14f845dd22' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/5dd33414-701e-4276-802b-6a14f845dd22
U & I Electrolysis and Nail Salon,106 Colonial Cres  London ON N6H 4X4,,,location.href = '/Portal/Facility/Details/ed1b4784-f1a4-4b73-b678-3f70016b1a3a' ,Personal Service Settings,,,,,,,https://inspections.healthunit.com/Portal/Facility/Details/ed1b4784-f1a4-4b73-b678-3f70016b1a3a
