Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Risk Rating,Type,Offense,Enforcement,Date Issued,Date Of Conviction,url_entity_full
Main Street Station,75 First St  Orangeville ON L9W 2E4,Restaurant,12-Apr-2024,location.href = '/Facility/Details/7cb868c4-5e62-431e-9f53-c7bdfbf3dd61' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7cb868c4-5e62-431e-9f53-c7bdfbf3dd61
Majestic Water Buffalo,6003 1st Line  Erin ON L0N 1N0,Convenience / Variety,06-Oct-2023,location.href = '/Facility/Details/1034ca0e-7784-4467-9f2f-d8001ab6a0f2' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1034ca0e-7784-4467-9f2f-d8001ab6a0f2
MAKIN Thai Food,102-79 Clair Rd E  Guelph ON L1L 0J7,Restaurant,07-Mar-2024,location.href = '/Facility/Details/0f50032c-c96f-4f61-8257-f9ea0465d502' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0f50032c-c96f-4f61-8257-f9ea0465d502
Manchu Wok,435 Stone Rd W  Guelph ON N1G 2X6,Food Take Out,03-Sep-2019,location.href = '/Facility/Details/69c54afe-2bdd-45f7-806f-810dbcd0dc6c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/69c54afe-2bdd-45f7-806f-810dbcd0dc6c
Manchu Wok - Guelph,2-292 Stone Rd W  Guelph ON N1G 3C4,Restaurant,05-Mar-2024,location.href = '/Facility/Details/c428a1a0-b412-456c-a67a-ba8622117026' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c428a1a0-b412-456c-a67a-ba8622117026
Mandarin Restaurant - Guelph,565 Woodlawn Rd W  Guelph ON N1K 1E9,Restaurant,22-Apr-2024,location.href = '/Facility/Details/3a1e4c48-36b8-44e1-a158-0d65229d617d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3a1e4c48-36b8-44e1-a158-0d65229d617d
Manhattans,951 Gordon St  Guelph ON N1G 4S1,Restaurant,01-Dec-2023,location.href = '/Facility/Details/72cdc9dc-b072-49c5-b25a-7abd35cf41e0' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/72cdc9dc-b072-49c5-b25a-7abd35cf41e0
Manor Adult Entertainment Complex,211 Silvercreek Parkway S  Guelph ON N1H 3K5,Snack Bar / Refreshment Stand,10-Nov-2023,location.href = '/Facility/Details/f8653590-604c-4d88-9e12-5df97af84932' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f8653590-604c-4d88-9e12-5df97af84932
Manouche Express Mediterranean Grill,88-84 Gordon St  Guelph ON N1H 4H6,Restaurant,23-Jan-2024,location.href = '/Facility/Details/d634a182-248f-421b-9c48-62ed71421f32' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d634a182-248f-421b-9c48-62ed71421f32
Mansfield General Store,937002 County Rd 18  Mansfield ON L0N 1M0,Convenience / Variety,12-Feb-2024,location.href = '/Facility/Details/0c775450-2dc6-4b5f-9576-9bd7c8e3f087' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0c775450-2dc6-4b5f-9576-9bd7c8e3f087
Mansfield Outdoor Centre - Field Centre,937365 Airport Rd  Mulmur ON L9V 3T6,Cafeteria,12-Feb-2024,location.href = '/Facility/Details/438491c9-2538-441e-8a2c-1aba5c216d88' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/438491c9-2538-441e-8a2c-1aba5c216d88
Mansfield Outdoor Centre - Main Lodge,1-937365 Airport Rd  Mulmur ON L9V 3T6,Cafeteria,12-Feb-2024,location.href = '/Facility/Details/f837518d-3611-44d5-88dd-6cb28a15a778' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f837518d-3611-44d5-88dd-6cb28a15a778
Mansfield Ski Club Inc,628213 Side Rd 15  Mansfield ON L9V 0T9,Restaurant,21-Feb-2024,location.href = '/Facility/Details/3cd119e6-d273-4c53-a450-16fe6d4e349d' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/3cd119e6-d273-4c53-a450-16fe6d4e349d
Maple Grove Farm,936215 Airport Rd  Mansfield ON L0N 1M0,Supermarket,04-Mar-2024,location.href = '/Facility/Details/4e485029-2480-4eb3-a761-af60e6d96365' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4e485029-2480-4eb3-a761-af60e6d96365
Maples Child Care Centre - Food,513047 2nd Line  Amaranth ON L9W 0S3,Child Care Catered,07-May-2024,location.href = '/Facility/Details/8a2769ab-d417-429f-a1e5-340fc5047102' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/8a2769ab-d417-429f-a1e5-340fc5047102
Mapleton Meats,7022 Wellington Rd 11  Drayton ON N0G 1P0,Convenience / Variety,15-Jun-2023,location.href = '/Facility/Details/c659305f-49d2-4c1c-9a24-5982f9b62890' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c659305f-49d2-4c1c-9a24-5982f9b62890
Mapleton Organic Dairy Restaurant,8548 Wellington Rd 7  Moorefield ON N0G 2K0,Restaurant,29-Sep-2023,location.href = '/Facility/Details/427eb79b-7891-4622-a4f0-7116ac7c52a6' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/427eb79b-7891-4622-a4f0-7116ac7c52a6
Marble Slab Creamery,112-301 Col Phillips Drive  Shelburne ON L9V 3W1,Ice Cream / Yogurt Vendor,26-Sep-2023,location.href = '/Facility/Details/7d81ef38-8af4-416f-b740-86f4a7f4b940' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/7d81ef38-8af4-416f-b740-86f4a7f4b940
Marble Slab Creamery,492 Edinburgh Rd S  Guelph ON N1G 4Z1,Ice Cream / Yogurt Vendor,08-Mar-2024,location.href = '/Facility/Details/959bd64b-aef2-4fc6-b300-3f28534225b3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/959bd64b-aef2-4fc6-b300-3f28534225b3
Marc's Independent Grocer,134 Main St  Erin ON N0B 1T0,Supermarket,21-Mar-2024,location.href = '/Facility/Details/f96c48f9-2190-4538-9e8e-279f07f59ed3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/f96c48f9-2190-4538-9e8e-279f07f59ed3
Marden Community Centre,7368 Wellington Rd 30  Guelph-Eramosa ON N1H 6J2,Banquet Hall,27-Jun-2023,location.href = '/Facility/Details/71875046-f700-40a2-8f83-22f84ebb527c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/71875046-f700-40a2-8f83-22f84ebb527c
Market Co.,60 Carden St  Guelph ON N1H 3A2,Cocktail Bar,08-Dec-2023,location.href = '/Facility/Details/fed5eb50-627e-47b6-990d-318041deece9' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/fed5eb50-627e-47b6-990d-318041deece9
Market Fresh Meat & Produce,10 Paisley St  Guelph ON N1H 2N6,Supermarket,12-Feb-2024,location.href = '/Facility/Details/07a2382b-a960-42dd-8b74-ad8100762ecc' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/07a2382b-a960-42dd-8b74-ad8100762ecc
Market in the Mills,164 Main Street  Horning's Mills ON L0N 1J0,Food Take Out,22-Mar-2023,location.href = '/Facility/Details/944721b0-0ce5-4a27-9838-cc787c91ab0a' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/944721b0-0ce5-4a27-9838-cc787c91ab0a
Marquez Churros,25 Munroe Cres  Guelph ON N1G 5E5,Mobile Preparation Premises,15-May-2023,location.href = '/Facility/Details/4dd1fe65-d246-4196-89fd-9c1d67b59643' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/4dd1fe65-d246-4196-89fd-9c1d67b59643
Mary Brown's Chicken,92 First Street  Orangeville ON L9W 3J6,Restaurant,17-Jan-2024,location.href = '/Facility/Details/cd4486ec-c536-4f0c-b983-cdc2b0fe8fe7' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/cd4486ec-c536-4f0c-b983-cdc2b0fe8fe7
Mary Brown's Chicken & Taters,105-804 Ojibway Rd  Shelburne ON L9V 3X9,Food Take Out,10-Oct-2023,location.href = '/Facility/Details/5a95518d-e44e-4005-adc4-ace1a17665be' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/5a95518d-e44e-4005-adc4-ace1a17665be
Mary Brown's Chicken & Taters,170 Silvercreek Pkwy N  Guelph ON N1H 7P7,Restaurant,22-Mar-2024,location.href = '/Facility/Details/eb004480-2e0a-4567-a0d6-461a2dbdbeef' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/eb004480-2e0a-4567-a0d6-461a2dbdbeef
Mary Browns Chicken and Taters,22-380 Eramosa Road  Guelph Ontario N1E 6R2,Food Take Out,12-Mar-2024,location.href = '/Facility/Details/fd6284b4-5866-4f9a-a067-fb6590bbd24b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/fd6284b4-5866-4f9a-a067-fb6590bbd24b
Mary Brown's Chicken Fergus,878 Tower St. S  Fergus ON N1M 3N7,Food Take Out,05-Dec-2023,location.href = '/Facility/Details/eafd54c7-830c-47ab-b247-6d06cb68e723' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/eafd54c7-830c-47ab-b247-6d06cb68e723
Mary Brown's Famous Chicken and Taters,2-20 Clair Rd W  Guelph ON N1L 0A6,Restaurant,14-Mar-2024,location.href = '/Facility/Details/a6775645-3e58-4638-a227-ddcea5d2b1e2' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a6775645-3e58-4638-a227-ddcea5d2b1e2
Maryborough-Moorefield Community Centre,15 Ball Ave  Moorefield ON N0G 2K0,Banquet Hall,12-May-2023,location.href = '/Facility/Details/48b2793c-0c9b-4ecf-babe-9fca143fcacd' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/48b2793c-0c9b-4ecf-babe-9fca143fcacd
Masonville Store,517003 County Road 124  Melancthon ON L9V 1V4,Convenience / Variety,27-Sep-2023,location.href = '/Facility/Details/a1cce37f-ecca-4f7c-83df-0c11e6b8c96b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/a1cce37f-ecca-4f7c-83df-0c11e6b8c96b
Masonville Store Fry Truck,517003 County Road 124  Melancthon ON L9V 1V4,Catering Vehicle,23-May-2023,location.href = '/Facility/Details/0cba66f9-e078-4485-9223-62726d9027df' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0cba66f9-e078-4485-9223-62726d9027df
McCabe's Irish Pub & Grill,9 Wyndham St N  Guelph ON N1H 4E2,Restaurant,,location.href = '/Facility/Details/217935e0-4293-47d0-bdcc-5f4466d67a8e' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/217935e0-4293-47d0-bdcc-5f4466d67a8e
McCabe's Irish Pub & Grill,9 Wyndham St N  Guelph ON N1H 4E2,Restaurant,25-Jan-2024,location.href = '/Facility/Details/0ea860f7-0b64-4462-a12e-52c840aded2c' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0ea860f7-0b64-4462-a12e-52c840aded2c
McDonald's,23 Broadway  Orangeville ON L9W 1J6,Restaurant,21-Mar-2024,location.href = '/Facility/Details/1211a5dc-123b-46d6-b007-408abb4fe426' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/1211a5dc-123b-46d6-b007-408abb4fe426
McDonald's,372 Stone Rd W  Guelph ON N1G 4T8,Restaurant,07-Mar-2024,location.href = '/Facility/Details/0f61e2ba-d6d5-482b-94a3-63205868689b' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/0f61e2ba-d6d5-482b-94a3-63205868689b
McDonald's,515 Riddell Rd  Orangeville ON L9W 5E3,Food Take Out,12-Feb-2024,location.href = '/Facility/Details/aecf3276-669a-45ad-b709-80647d409bb3' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/aecf3276-669a-45ad-b709-80647d409bb3
McDonald's,243 Woodlawn Rd W  Guelph ON N1H 7L6,Restaurant,26-Jan-2024,location.href = '/Facility/Details/d48dd52d-a77d-4663-97a3-897b63a9761f' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/d48dd52d-a77d-4663-97a3-897b63a9761f
McDonald's,870 Tower St S  Fergus ON N1M 2P6,Restaurant,02-Feb-2024,location.href = '/Facility/Details/2838497b-8740-4d03-883c-90499108e311' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/2838497b-8740-4d03-883c-90499108e311
McDonald's,800 Ojibway Drive  Shelburne ON L9V 3X9,Restaurant,17-Oct-2023,location.href = '/Facility/Details/c1a7acf1-3072-49b2-ae0e-ae606486d829' ,Food Safety,,,,,,,https://www.checkbeforeyouchoose.ca/Facility/Details/c1a7acf1-3072-49b2-ae0e-ae606486d829
