Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Yorktown Home Hardware,1355 Grand Marais Rd W Windsor ON N9E 1E2,Convenience/Variety Store,25-Jul-2023,location.href = '/disclosure/Facility/Details/86d1dc37-2dd6-4a13-9c31-1d29669833e8' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/86d1dc37-2dd6-4a13-9c31-1d29669833e8
Your Wooden Treehouse,1204 Cty Rd 22 Emeryville ON N0R 1C0,Child Care - Food Prep,11-Jan-2024,location.href = '/disclosure/Facility/Details/0d56c05a-7245-4291-b528-36b6189680f0' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/0d56c05a-7245-4291-b528-36b6189680f0
YoYo's Family Fun Centre,4451 Tecumseh Rd E Windsor ON N8W 1K6,Refreshment Stand,08-Nov-2023,location.href = '/disclosure/Facility/Details/35b79fc0-d283-4016-9cd6-79f1d125890c' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/35b79fc0-d283-4016-9cd6-79f1d125890c
Yum Yum Pizza,1-3200 Sandwich St Windsor ON N9C 1A8,Food Take Out,08-Aug-2023,location.href = '/disclosure/Facility/Details/37694f08-78e0-40d9-9630-db9e8ed858a1' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/37694f08-78e0-40d9-9630-db9e8ed858a1
Yu's Kitchen,13502 Tecumseh Rd E Tecumseh ON N8N 3N7,Food Take Out,18-Oct-2023,location.href = '/disclosure/Facility/Details/eced6844-9219-43bb-8360-c0017614e1bc' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/eced6844-9219-43bb-8360-c0017614e1bc
Z & R Hot Dogs,1917 Lappan Ave Windsor ON N8W 5G3,Food Depot,08-Mar-2024,location.href = '/disclosure/Facility/Details/f0c0a676-f271-4e69-8cf2-5c151eb6e097' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/f0c0a676-f271-4e69-8cf2-5c151eb6e097
Z & R Hot Dogs - #219,2650 Tecumseh Rd W Windsor ON N9B 3R1,Street Food Vending Carts,05-Jan-2023,location.href = '/disclosure/Facility/Details/003d701c-b273-473e-88ad-3f459dced7d6' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/003d701c-b273-473e-88ad-3f459dced7d6
Z & R Hot Dogs - #300,4150 Walker Rd Windsor ON N8W 3T5,Street Food Vending Carts,11-Mar-2024,location.href = '/disclosure/Facility/Details/58a93444-c95b-484b-bebb-31082afa391e' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/58a93444-c95b-484b-bebb-31082afa391e
Z & R Hot Dogs - #301,8505 Tecumseh Rd E Windsor ON N8R 1A1,Street Food Vending Carts,05-Jan-2023,location.href = '/disclosure/Facility/Details/8649179d-1425-40f2-a6f4-6d9f43fa6ace' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8649179d-1425-40f2-a6f4-6d9f43fa6ace
Z & R Hot Dogs - #402,Ottawa St Windsor ON,Street Food Vending Carts,05-Jan-2023,location.href = '/disclosure/Facility/Details/8238cee2-3f89-43ad-83e9-4f5bf0690043' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/8238cee2-3f89-43ad-83e9-4f5bf0690043
Z & R Hot Dogs #270,1917 Lappan Ave Windsor ON N8W 5G3,Street Food Vending Carts,05-Jan-2023,location.href = '/disclosure/Facility/Details/c7747b0e-6a38-449d-9b31-e78f252df568' ,Food Safety,,,,,,,https://disclosure55.wechu.org/disclosure/Facility/Details/c7747b0e-6a38-449d-9b31-e78f252df568
