Inspection Type,Inspection Date,url_inspection,url_inspection_full,url_entity_full
Required,24-Jan-2024,location.href = '/disclosure/Inspection/Details/d3433563-9288-4e60-aa4d-9b235e498865' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/d3433563-9288-4e60-aa4d-9b235e498865,https://disclosure55.wechu.org/disclosure/Facility/Details/55ba298e-fa84-41aa-b08e-9c4f749bd5fe
Required,11-Jan-2024,location.href = '/disclosure/Inspection/Details/58b98e80-d60e-4f6f-af1f-92b3836f09cf' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/58b98e80-d60e-4f6f-af1f-92b3836f09cf,https://disclosure55.wechu.org/disclosure/Facility/Details/eb4c6dee-5618-4470-83b6-28c83083d96d
Required,16-Feb-2023,location.href = '/disclosure/Inspection/Details/e21cdfdd-f4bb-483a-b4d8-c810dfbfa939' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/e21cdfdd-f4bb-483a-b4d8-c810dfbfa939,https://disclosure55.wechu.org/disclosure/Facility/Details/eb4c6dee-5618-4470-83b6-28c83083d96d
Required,21-Jun-2022,location.href = '/disclosure/Inspection/Details/231d446c-de2b-4bac-b0d0-93d98bd92e16' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/231d446c-de2b-4bac-b0d0-93d98bd92e16,https://disclosure55.wechu.org/disclosure/Facility/Details/eb4c6dee-5618-4470-83b6-28c83083d96d
Required,24-Oct-2023,location.href = '/disclosure/Inspection/Details/6a6a28ed-fe67-4ba9-944a-d313eac69d10' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/6a6a28ed-fe67-4ba9-944a-d313eac69d10,https://disclosure55.wechu.org/disclosure/Facility/Details/3e589816-6ab4-4b98-a319-b57d06904c72
Required,25-Apr-2024,location.href = '/disclosure/Inspection/Details/c08b25cc-61ef-432a-8294-ba8844661dc0' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/c08b25cc-61ef-432a-8294-ba8844661dc0,https://disclosure55.wechu.org/disclosure/Facility/Details/10d5bf07-374b-4422-8b43-87608a51c671
Required,06-Oct-2023,location.href = '/disclosure/Inspection/Details/75968a69-2163-4f91-8c32-f3aacd23a281' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/75968a69-2163-4f91-8c32-f3aacd23a281,https://disclosure55.wechu.org/disclosure/Facility/Details/10d5bf07-374b-4422-8b43-87608a51c671
Required,30-Jan-2024,location.href = '/disclosure/Inspection/Details/2ece9e80-3625-4591-9920-e58cab858555' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/2ece9e80-3625-4591-9920-e58cab858555,https://disclosure55.wechu.org/disclosure/Facility/Details/022b30fd-36c0-47eb-ba54-f875645b872b
Required,12-Oct-2023,location.href = '/disclosure/Inspection/Details/121d9e85-c038-4c8c-8bb3-166c23a3b55e' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/121d9e85-c038-4c8c-8bb3-166c23a3b55e,https://disclosure55.wechu.org/disclosure/Facility/Details/022b30fd-36c0-47eb-ba54-f875645b872b
Required,15-Jan-2024,location.href = '/disclosure/Inspection/Details/0f183191-9c19-4c34-800c-a0135a0904e4' ,https://disclosure55.wechu.org/disclosure/Inspection/Details/0f183191-9c19-4c34-800c-a0135a0904e4,https://disclosure55.wechu.org/disclosure/Facility/Details/d53f0af1-c0b9-4302-9d15-67a7d7d1c81c
