Inspection Date,Inspection Type,url_inspection,url_inspection_full,url_entity_full
12-Dec-2022,Required,location.href = '/Inspection/Details/8c6bd536-4c09-4140-8239-8a85282b2fce' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/8c6bd536-4c09-4140-8239-8a85282b2fce,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
15-Jun-2022,Required,location.href = '/Inspection/Details/45a9c608-20ef-4987-94f8-44b53cf678af' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/45a9c608-20ef-4987-94f8-44b53cf678af,https://checkbeforeyougo.phsd.ca/Facility/Details/c21e5a53-7b98-4edb-808f-59d8100f98ac
12-Feb-2024,Required,location.href = '/Inspection/Details/5402486b-e958-4214-b2bc-99246a0c95b7' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/5402486b-e958-4214-b2bc-99246a0c95b7,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
10-Mar-2023,Follow-up,location.href = '/Inspection/Details/7a02cf7d-7a5f-4598-9d20-0a7661ea1f8b' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/7a02cf7d-7a5f-4598-9d20-0a7661ea1f8b,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
16-Feb-2023,Follow-up,location.href = '/Inspection/Details/184c666a-a48b-4cd2-ac8c-5b14321da197' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/184c666a-a48b-4cd2-ac8c-5b14321da197,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
06-Jan-2023,Required,location.href = '/Inspection/Details/a4006955-2f3b-4579-9f6e-a152d5171fa2' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/a4006955-2f3b-4579-9f6e-a152d5171fa2,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
09-Nov-2022,Required,location.href = '/Inspection/Details/337d2666-f608-44db-861e-4e4f16c052ae' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/337d2666-f608-44db-861e-4e4f16c052ae,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
07-Nov-2022,Required,location.href = '/Inspection/Details/82a743c4-2ff2-413c-b5f3-2857c7649587' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/82a743c4-2ff2-413c-b5f3-2857c7649587,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
16-May-2022,Required,location.href = '/Inspection/Details/2c0f23ed-93e6-4e5c-a405-fa3996190120' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/2c0f23ed-93e6-4e5c-a405-fa3996190120,https://checkbeforeyougo.phsd.ca/Facility/Details/764d64da-37f6-4bc9-b522-85bd3e401241
21-Feb-2024,Required,location.href = '/Inspection/Details/8fab350e-8f3a-498b-a6d8-4b27d28f6043' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/8fab350e-8f3a-498b-a6d8-4b27d28f6043,https://checkbeforeyougo.phsd.ca/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf
28-Feb-2023,Required,location.href = '/Inspection/Details/0ca45a08-81f4-493d-91ac-b3c513a74787' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/0ca45a08-81f4-493d-91ac-b3c513a74787,https://checkbeforeyougo.phsd.ca/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf
01-Sep-2022,Required,location.href = '/Inspection/Details/c744acb2-1379-457e-8f60-d84da7e8907a' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/c744acb2-1379-457e-8f60-d84da7e8907a,https://checkbeforeyougo.phsd.ca/Facility/Details/5f537b70-c542-471f-90e5-9be7db51adbf
05-Apr-2024,Required,location.href = '/Inspection/Details/048b62f7-4693-4268-8bde-568952e94c9a' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/048b62f7-4693-4268-8bde-568952e94c9a,https://checkbeforeyougo.phsd.ca/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be
16-Feb-2023,Required,location.href = '/Inspection/Details/678ddb41-5134-447c-b4ef-c5f57373b6ae' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/678ddb41-5134-447c-b4ef-c5f57373b6ae,https://checkbeforeyougo.phsd.ca/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be
29-Nov-2022,Required,location.href = '/Inspection/Details/35b178cb-3077-46ac-8bc2-7601770ff0b0' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/35b178cb-3077-46ac-8bc2-7601770ff0b0,https://checkbeforeyougo.phsd.ca/Facility/Details/e3bca2a3-01ab-4132-a3f8-a7a3755ea5be
25-Mar-2024,Required,location.href = '/Inspection/Details/3b2835b3-f0fe-4c03-b989-7e8446131c64' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/3b2835b3-f0fe-4c03-b989-7e8446131c64,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
08-Mar-2024,Required,location.href = '/Inspection/Details/123fade2-ea7e-4d47-83dd-4bb3add48a7e' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/123fade2-ea7e-4d47-83dd-4bb3add48a7e,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
13-Mar-2023,Required,location.href = '/Inspection/Details/a68f0ebf-1720-4a5a-9446-1f3d53793d18' ,https://checkbeforeyougo.phsd.ca/Inspection/Details/a68f0ebf-1720-4a5a-9446-1f3d53793d18,https://checkbeforeyougo.phsd.ca/Facility/Details/4b19bcde-64d2-4625-acaa-831deb0cc2eb
