Facility Name,Site Address,Facility Type,Last Inspection Date,url_entity_partial,category,Services Inspected,Type,Offense,Outcome,Offense Date,Comment,Resolved Date,url_entity_full
Magic Triangle Magique,100 Bruyere Street  Sudbury ON P3C 2V1,Child-Care Setting Food Preparation,08-Feb-2024,location.href = '/Facility/Details/887b3c1b-6e5d-40b9-ac3c-047a5fa8a89f' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/887b3c1b-6e5d-40b9-ac3c-047a5fa8a89f
Magic Triangle Magique,25 Marier Street  Azilda ON P0M 1B0,Child-Care Setting Food Preparation,01-Feb-2024,location.href = '/Facility/Details/b9fe55a2-653b-470b-9f5b-009c4cd7f811' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/b9fe55a2-653b-470b-9f5b-009c4cd7f811
Magic Triangle Magique,4500 St-Michel Street  Hanmer ON P3P 1M8,Child-Care Setting Catered,06-Feb-2024,location.href = '/Facility/Details/bebcce3d-da7d-4199-b48e-5331152911f2' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/bebcce3d-da7d-4199-b48e-5331152911f2
Magic Triangle Magique,4503 Dennie Street  Hanmer ON P3P 1L1,Child-Care Setting Catered,23-Feb-2024,location.href = '/Facility/Details/22ddf666-9053-4372-9bbc-ae135036720c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/22ddf666-9053-4372-9bbc-ae135036720c
Magic Triangle Magique,100 High Street  Levack ON P0M 2C0,Child-Care Setting Catered,11-Jan-2024,location.href = '/Facility/Details/348b9ffb-237d-40fc-b08c-bdefe172ffd9' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/348b9ffb-237d-40fc-b08c-bdefe172ffd9
Magical Bistro,12 Elgin Street  Sudbury ON P3C 5B5,Restaurant,13-Mar-2024,location.href = '/Facility/Details/e7a8dcf6-ba88-4b45-a932-d277aeb127b8' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/e7a8dcf6-ba88-4b45-a932-d277aeb127b8
Magical Nook/Coin Magique,4120 Elmview Drive  Hanmer ON P3P 1S6,Child-Care Setting Food Preparation,03-Jan-2024,location.href = '/Facility/Details/2a91c906-68e7-4b76-bd42-ac9178fbd8d3' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/2a91c906-68e7-4b76-bd42-ac9178fbd8d3
Main St. Sports Bar & Grill,1642 Main Street  Val Caron Ontario P3N 1R8,Restaurant,02-May-2024,location.href = '/Facility/Details/a87bc945-3037-43fd-b448-925e59fe667d' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/a87bc945-3037-43fd-b448-925e59fe667d
Maison D'Amitie - Friendship House,100 Gaudette St  Chelmsford ON P0M 1L0,Food Bank,09-Nov-2023,location.href = '/Facility/Details/095ae5f0-9d13-484e-9147-dcef4d80eaa3' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/095ae5f0-9d13-484e-9147-dcef4d80eaa3
Maison McCulloch Hospice,1028 South Bay Rd  Sudbury ON P3E 6J4,Boarding / Lodging / Group Home,17-Jan-2024,location.href = '/Facility/Details/533fc63c-2906-4add-98ba-c927a6214c0c' ,Food Premisis,,,,,,,,https://checkbeforeyougo.phsd.ca/Facility/Details/533fc63c-2906-4add-98ba-c927a6214c0c
