Facility Name,Facility Type,Last Inspection Date,Site Address,url_entity_partial,category,Type,Offense,Outcome,Offense Date,Resolved Date,url_entity_full
Marisa Hutten Kitchen - Home Based Food Premises,Cannery,09-Jan-2024,1908 North Shore Dr Lowbanks ON N0A 1K0,location.href = '/Portal/Facility/Details/a07b5682-f2fd-49e1-9a9e-c811d6440556' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a07b5682-f2fd-49e1-9a9e-c811d6440556
Markhoeve Dairy,Milk Pasteurization Plant,26-Oct-2023,108 Concession 11 Townsend Waterford ON N0E 1Y0,location.href = '/Portal/Facility/Details/81b46312-18d3-4e0b-a74a-c0ccb6fb4e85' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/81b46312-18d3-4e0b-a74a-c0ccb6fb4e85
Marshview Mobile Food Trailer,Mobile Preparation Premises,28-Jul-2023,1730 Front Road St. Williams N0E 1P0,location.href = '/Portal/Facility/Details/ba9fdc0c-e87e-48eb-8ecb-01920ed9ab57' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ba9fdc0c-e87e-48eb-8ecb-01920ed9ab57
Marshview Patio & Bar,Restaurant,19-Apr-2024,1730 Front Road St Williams N0E 1P0,location.href = '/Portal/Facility/Details/ab6aa32e-a2cb-4613-ac44-c8eda7feda7d' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/ab6aa32e-a2cb-4613-ac44-c8eda7feda7d
Maruti Shop Port Dover,Convenience / Variety,09-Jan-2024,2-511 Main St Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/de64c46b-987d-49c1-b292-db30fe0b9142' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/de64c46b-987d-49c1-b292-db30fe0b9142
Mary Poppins Nursery School,School Nutrition Program,06-Nov-2023,151 Caithness St E Caledonia ON N3W 1C2,location.href = '/Portal/Facility/Details/08b5f153-a804-416f-b4e7-4adfc635f1c2' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/08b5f153-a804-416f-b4e7-4adfc635f1c2
Matz Fruit Barn,Ice Cream / Yogurt Vendor,10-Aug-2023,525 Hwy 6 Port Dover ON N0A 1N0,location.href = '/Portal/Facility/Details/736227aa-74ed-4516-919b-6060da9e2dd7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/736227aa-74ed-4516-919b-6060da9e2dd7
Max Convenience,Convenience / Variety,10-Jul-2023,21 Colborne St S. Simcoe ON N3Y 4H2,location.href = '/Portal/Facility/Details/dd0f80c2-e3c3-4aef-82fb-620877acbdb7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/dd0f80c2-e3c3-4aef-82fb-620877acbdb7
McDonald's,Restaurant,12-Feb-2024,282 Argyle St S. Caledonia ON N3W 1K8,location.href = '/Portal/Facility/Details/6db63f53-e12a-4da8-a08c-5da6d17700f7' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/6db63f53-e12a-4da8-a08c-5da6d17700f7
McDonald's,Restaurant,10-Apr-2024,77 Queensway E. Simcoe ON N3Y 4M5,location.href = '/Portal/Facility/Details/a9bd577f-8771-469a-afb1-8c3a6dfdac6e' ,Food Safety,,,,,,https://inspectourcommunity.hnhss.ca/Portal/Facility/Details/a9bd577f-8771-469a-afb1-8c3a6dfdac6e
