Facility Name,Site Address,Community,Facility Type,url_entity_partial,category,Enforcement,Action Taken,Status,Date of Issuance,Details,Status Date,url_entity_full
Abrisham Restaurant,6-126 Bridge St  Bradford ON L3Z 3H2,Bradford,Restaurant,location.href = '/Facility/Details/f0f6e5ee-7b02-48ff-abc5-10fe478f0965' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f0f6e5ee-7b02-48ff-abc5-10fe478f0965
Addae Cares,7 Queen St W  Elmvale ON L0L 1P0,Elmvale,Child Care - Catered,location.href = '/Facility/Details/cc7f935c-9fdd-4955-98dd-5ab1d77e2f38' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/cc7f935c-9fdd-4955-98dd-5ab1d77e2f38
ADH Enterprises,2207 Industrial Park Road  Innisfil ON L9S 3V9,Innisfil,Food Take Out,location.href = '/Facility/Details/272c31ca-53c6-474b-b7d1-fe0166604e26' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/272c31ca-53c6-474b-b7d1-fe0166604e26
Adjala Central Public School,9091 County Rd 1  Loretto ON L0G 1L0,Loretto,Student Nutrition Program,location.href = '/Facility/Details/fa460834-e871-400a-873a-181b4f174feb' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/fa460834-e871-400a-873a-181b4f174feb
Adjala Child Care,9091 County Rd 1  Loretto ON L0G 1L0,Adjala-Tosorontio,Child Care - School Age Program,location.href = '/Facility/Details/b32365d8-21ed-40bd-ad86-079e7d825184' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/b32365d8-21ed-40bd-ad86-079e7d825184
Adjala-Tosorontio Municipal Office,7855 Sideroad 30  Alliston ON L9R 1V1,Adjala-Tosorontio,Serving Kitchen,location.href = '/Facility/Details/25f728da-f679-46c9-988c-5e7654df2e49' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/25f728da-f679-46c9-988c-5e7654df2e49
Admiral Collingwood Elementary School,15 Dey Dr  Collingwood ON L9Y 4N0,Collingwood,Student Nutrition Program,location.href = '/Facility/Details/2b2e1f00-1ba3-4730-891f-6083d3205426' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/2b2e1f00-1ba3-4730-891f-6083d3205426
Affogato Cafe + Gelato,2-76 Main St E  Huntsville ON P1H 2C7,Huntsville,Restaurant,location.href = '/Facility/Details/5aab19ec-ec7e-4e39-9eff-e98da3926717' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/5aab19ec-ec7e-4e39-9eff-e98da3926717
African Nigerian Restaurant,205 Johnston St  Barrie ON L4N 5Y8,Barrie,Home-Based,location.href = '/Facility/Details/6b534c93-fea2-4b0f-a3ff-94feca0639a0' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/6b534c93-fea2-4b0f-a3ff-94feca0639a0
Ahso Sushi,436 Bryne Dr  Barrie ON L4N 9R1,Barrie,Food Take Out,location.href = '/Facility/Details/5c73e1ee-2c0a-4ce7-987e-7a6b2588c7c1' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/5c73e1ee-2c0a-4ce7-987e-7a6b2588c7c1
AK Nutrition,2446 Manitoba St  Bracebridge ON P1L 1X4,Bracebridge,Home-Based,location.href = '/Facility/Details/8010fe33-1498-4fa2-ac07-d799e06db832' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/8010fe33-1498-4fa2-ac07-d799e06db832
Akita Sushi,7-456 Holland St W  Bradford ON L3Z 2A4,Bradford,Restaurant,location.href = '/Facility/Details/f38b33b9-af70-40e7-be62-2d08f86f0875' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f38b33b9-af70-40e7-be62-2d08f86f0875
Al Truistic's Beer Bread Bakery,290 Muskoka Rd N  Gravenhurst ON P1P 1T5,Gravenhurst,Food Shop,location.href = '/Facility/Details/66fc20f7-2284-4ab9-a505-fcc136594c1d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/66fc20f7-2284-4ab9-a505-fcc136594c1d
Alaghz,1179 Bayfield Street N  Midhurst ON L9X 0N5,Midhurst,Restaurant,location.href = '/Facility/Details/3a9b8863-c505-4f36-9b54-714ddf232609' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3a9b8863-c505-4f36-9b54-714ddf232609
Alcona Beach Health Shoppe,20-1070 Innisfil Beach Rd  Alcona ON L9S 4T9,Alcona,Convenience / Variety,location.href = '/Facility/Details/a14234d8-f7d9-406b-bdfc-d9e7400b6b28' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/a14234d8-f7d9-406b-bdfc-d9e7400b6b28
Alcona Gas Variety and Car Wash,1080 Innisfil Beach Road  Alcona ON L9S 4T9,Alcona,Convenience / Variety,location.href = '/Facility/Details/e6dfadf4-dee4-4195-baaa-ca3d7ecdccc4' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/e6dfadf4-dee4-4195-baaa-ca3d7ecdccc4
Alcona Glen Elementary School,1310 Innisfil Beach Rd  Alcona ON L9S 4B7,Alcona,Student Nutrition Program,location.href = '/Facility/Details/3313eb39-8fe0-4d1f-b9eb-bfb75fa23c14' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/3313eb39-8fe0-4d1f-b9eb-bfb75fa23c14
Alex European Food & Deli,31 Commerce Park  Road Barrie ON L4N 8X1,Barrie,Supermarket / Grocery,location.href = '/Facility/Details/f1008779-7f32-49bc-8e42-86ef31cadf1d' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/f1008779-7f32-49bc-8e42-86ef31cadf1d
Alfies Variety Store,1-201 Cundles Rd E  Barrie ON L4M 4S5,Barrie,Convenience / Variety,location.href = '/Facility/Details/7cf7a765-7137-4f7a-a034-e88965849755' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/7cf7a765-7137-4f7a-a034-e88965849755
Algonquin Cafe and Deli,234 Main St W  Huntsville ON P1H 1Y1,Huntsville,Restaurant,location.href = '/Facility/Details/d61c2b86-29c4-444a-8dbd-cb2119b75cb7' ,Food Premisis,,,,,,,https://simcoeportal.hedgerowsoftware.com/Facility/Details/d61c2b86-29c4-444a-8dbd-cb2119b75cb7
